cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
19820,26099, ,Macomb MI,"Detroit-Warren-Dearborn, MI (Metro)",840978,0.196
19820,26125, ,Oakland MI,"Detroit-Warren-Dearborn, MI (Metro)",1202362,0.28
19820,26147, ,St. Clair MI,"Detroit-Warren-Dearborn, MI (Metro)",163040,0.038
19820,26163, ,Wayne MI,"Detroit-Warren-Dearborn, MI (Metro)",1820584,0.424
19860,38089, ,Stark ND,"Dickinson, ND (Micro)",24199,1
19940,17103, ,Lee IL,"Dixon, IL (Micro)",36031,1
19980,20057, ,Ford KS,"Dodge City, KS (Micro)",33848,1
20020,1061, ,Geneva AL,"Dothan, AL (Metro)",26790,0.184
20020,1067, ,Henry AL,"Dothan, AL (Metro)",17302,0.119
20020,1069, ,Houston AL,"Dothan, AL (Metro)",101547,0.697
20060,13069, ,Coffee GA,"Douglas, GA (Micro)",42356,1
20100,10001, ,Kent DE,"Dover, DE (Metro)",162310,1
20140,13167, ,Johnson GA,"Dublin, GA (Micro)",9980,0.171
20140,13175, ,Laurens GA,"Dublin, GA (Micro)",48434,0.829
20180,42033, ,Clearfield PA,"DuBois, PA (Micro)",81642,1
20220,19061, ,Dubuque IA,"Dubuque, IA (Metro)",93653,1
20260,27017, ,Carlton MN,"Duluth, MN-WI (Metro)",35386,0.126
20260,27137, ,St. Louis MN,"Duluth, MN-WI (Metro)",200226,0.716
20260,55031, ,Douglas WI,"Duluth, MN-WI (Metro)",44159,0.158
20300,48341, ,Moore TX,"Dumas, TX (Micro)",21904,1
20340,40137, ,Stephens OK,"Duncan, OK (Micro)",45048,1
20380,37085, ,Harnett NC,"Dunn, NC (Micro)",114678,1
20420,8067, ,La Plata CO,"Durango, CO (Micro)",51334,1
20460,40013, ,Bryan OK,"Durant, OK (Micro)",42416,1
20500,37037, ,Chatham NC,"Durham-Chapel Hill, NC (Metro)",63505,0.126
20500,37063, ,Durham NC,"Durham-Chapel Hill, NC (Metro)",267587,0.531
20500,37135, ,Orange NC,"Durham-Chapel Hill, NC (Metro)",133801,0.265
20500,37145, ,Person NC,"Durham-Chapel Hill, NC (Metro)",39464,0.078
20540,47045, ,Dyer TN,"Dyersburg, TN (Micro)",38335,1
20580,48323, ,Maverick TX,"Eagle Pass, TX (Micro)",54258,1
20660,24041, ,Talbot MD,"Easton, MD (Micro)",37782,1
20700,42089, ,Monroe PA,"East Stroudsburg, PA (Metro)",169842,1
20740,55017, ,Chippewa WI,"Eau Claire, WI (Metro)",62415,0.387
20740,55035, ,Eau Claire WI,"Eau Claire, WI (Metro)",98736,0.613
20780,8037, ,Eagle CO,"Edwards, CO (Micro)",52197,1
20820,17049, ,Effingham IL,"Effingham, IL (Micro)",34242,1
20900,48481, ,Wharton TX,"El Campo, TX (Micro)",41280,1
20940,6025, ,Imperial CA,"El Centro, CA (Metro)",174528,1
20980,5139, ,Union AR,"El Dorado, AR (Micro)",41639,1
21020,37029, ,Camden NC,"Elizabeth City, NC (Micro)",9980,0.156
21020,37139, ,Pasquotank NC,"Elizabeth City, NC (Micro)",40661,0.634
