cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
37980,42101, ,Philadelphia PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)",1526006,0.256
38060,4013, ,Maricopa AZ,"Phoenix-Mesa-Scottsdale, AZ (Metro)",3817117,0.91
38060,4021, ,Pinal AZ,"Phoenix-Mesa-Scottsdale, AZ (Metro)",375770,0.09
38100,28109, ,Pearl River MS,"Picayune, MS (Micro)",55834,1
38180,46065, ,Hughes SD,"Pierre, SD (Micro)",17022,0.797
38180,46117, ,Stanley SD,"Pierre, SD (Micro)",2966,0.139
38180,46119, ,Sully SD,"Pierre, SD (Micro)",1373,0.064
38220,5025, ,Cleveland AR,"Pine Bluff, AR (Metro)",8689,0.087
38220,5069, ,Jefferson AR,"Pine Bluff, AR (Metro)",77435,0.772
38220,5079, ,Lincoln AR,"Pine Bluff, AR (Metro)",14134,0.141
38240,37125, ,Moore NC,"Pinehurst-Southern Pines, NC (Micro)",88247,1
38260,20037, ,Crawford KS,"Pittsburg, KS (Micro)",39134,1
38300,42003, ,Allegheny PA,"Pittsburgh, PA (Metro)",1223348,0.519
38300,42005, ,Armstrong PA,"Pittsburgh, PA (Metro)",68941,0.029
38300,42007, ,Beaver PA,"Pittsburgh, PA (Metro)",170539,0.072
38300,42019, ,Butler PA,"Pittsburgh, PA (Metro)",183862,0.078
38300,42051, ,Fayette PA,"Pittsburgh, PA (Metro)",136606,0.058
38300,42125, ,Washington PA,"Pittsburgh, PA (Metro)",207820,0.088
38300,42129, ,Westmoreland PA,"Pittsburgh, PA (Metro)",365169,0.155
38340,25003, ,Berkshire MA,"Pittsfield, MA (Metro)",131219,1
38380,48189, ,Hale TX,"Plainview, TX (Micro)",36273,1
38420,55043, ,Grant WI,"Platteville, WI (Micro)",51208,1
38460,36019, ,Clinton NY,"Plattsburgh, NY (Micro)",82128,1
38500,18099, ,Marshall IN,"Plymouth, IN (Micro)",47051,1
38540,16005, ,Bannock ID,"Pocatello, ID (Metro)",82839,1
38580,39053, ,Gallia OH,"Point Pleasant, WV-OH (Micro)",30934,0.531
38580,54053, ,Mason WV,"Point Pleasant, WV-OH (Micro)",27324,0.469
38620,40071, ,Kay OK,"Ponca City, OK (Micro)",46562,1
38700,17105, ,Livingston IL,"Pontiac, IL (Micro)",38950,1
38740,29023, ,Butler MO,"Poplar Bluff, MO (Micro)",42794,1
38780,35041, ,Roosevelt NM,"Portales, NM (Micro)",19846,1
38820,53009, ,Clallam WA,"Port Angeles, WA (Micro)",71404,1
38840,39123, ,Ottawa OH,"Port Clinton, OH (Micro)",41428,1
38860,23005, ,Cumberland ME,"Portland-South Portland, ME (Metro)",281674,0.548
38860,23023, ,Sagadahoc ME,"Portland-South Portland, ME (Metro)",35293,0.069
38860,23031, ,York ME,"Portland-South Portland, ME (Metro)",197131,0.383
38900,41005, ,Clackamas OR,"Portland-Vancouver-Hillsboro, OR-WA (Metro)",375992,0.169
38900,41009, ,Columbia OR,"Portland-Vancouver-Hillsboro, OR-WA (Metro)",49351,0.022
38900,41051, ,Multnomah OR,"Portland-Vancouver-Hillsboro, OR-WA (Metro)",735334,0.33
38900,41067, ,Washington OR,"Portland-Vancouver-Hillsboro, OR-WA (Metro)",529710,0.238
38900,41071, ,Yamhill OR,"Portland-Vancouver-Hillsboro, OR-WA (Metro)",99193,0.045
38900,53011, ,Clark WA,"Portland-Vancouver-Hillsboro, OR-WA (Metro)",425363,0.191
38900,53059, ,Skamania WA,"Portland-Vancouver-Hillsboro, OR-WA (Metro)",11066,0.005
38920,48057, ,Calhoun TX,"Port Lavaca, TX (Micro)",21381,1
38940,12085, ,Martin FL,"Port St. Lucie, FL (Metro)",146318,0.345
38940,12111, ,St. Lucie FL,"Port St. Lucie, FL (Metro)",277789,0.655
39020,39145, ,Scioto OH,"Portsmouth, OH (Micro)",79499,1
39060,42107, ,Schuylkill PA,"Pottsville, PA (Micro)",148289,1
39140,4025, ,Yavapai AZ,"Prescott, AZ (Metro)",211033,1
39220,49007, ,Carbon UT,"Price, UT (Micro)",21403,1
39260,41013, ,Crook OR,"Prineville, OR (Micro)",20978,1
39300,25005, ,Bristol MA,"Providence-Warwick, RI-MA (Metro)",548285,0.342
39300,44001, ,Bristol RI,"Providence-Warwick, RI-MA (Metro)",49875,0.031
39300,44003, ,Kent RI,"Providence-Warwick, RI-MA (Metro)",166158,0.104
39300,44005, ,Newport RI,"Providence-Warwick, RI-MA (Metro)",82888,0.052
39300,44007, ,Providence RI,"Providence-Warwick, RI-MA (Metro)",626667,0.391
39300,44009, ,Washington RI,"Providence-Warwick, RI-MA (Metro)",126979,0.079
39340,49023, ,Juab UT,"Provo-Orem, UT (Metro)",10246,0.019
39340,49049, ,Utah UT,"Provo-Orem, UT (Metro)",516564,0.981
39380,8101, ,Pueblo CO,"Pueblo, CO (Metro)",159063,1
39420,53075, ,Whitman WA,"Pullman, WA (Micro)",44776,1
39460,12015, ,Charlotte FL,"Punta Gorda, FL (Metro)",159978,1
39500,17001, ,Adams IL,"Quincy, IL-MO (Micro)",67103,0.868
39500,29111, ,Lewis MO,"Quincy, IL-MO (Micro)",10211,0.132
39540,55101, ,Racine WI,"Racine, WI (Metro)",195408,1
39580,37069, ,Franklin NC,"Raleigh, NC (Metro)",60619,0.054
39580,37101, ,Johnston NC,"Raleigh, NC (Metro)",168878,0.149
39580,37183, ,Wake NC,"Raleigh, NC (Metro)",900993,0.797
39660,46033, ,Custer SD,"Rapid City, SD (Metro)",8216,0.061
39660,46093, ,Meade SD,"Rapid City, SD (Metro)",25434,0.189
39660,46103, ,Pennington SD,"Rapid City, SD (Metro)",100948,0.75
39700,48489, ,Willacy TX,"Raymondville, TX (Micro)",22134,1
39740,42011, ,Berks PA,"Reading, PA (Metro)",411442,1
39780,6103, ,Tehama CA,"Red Bluff, CA (Micro)",63463,1
39820,6089, ,Shasta CA,"Redding, CA (Metro)",177223,1
39860,27049, ,Goodhue MN,"Red Wing, MN (Micro)",46183,1
39900,32029, ,Storey NV,"Reno, NV (Metro)",4010,0.009
39900,32031, ,Washoe NV,"Reno, NV (Metro)",421407,0.991
39940,16043, ,Fremont ID,"Rexburg, ID (Micro)",13242,0.261
39940,16065, ,Madison ID,"Rexburg, ID (Micro)",37536,0.739
39980,18177, ,Wayne IN,"Richmond, IN (Micro)",68917,1
40060,51007, ,Amelia VA,"Richmond, VA (Metro)",12690,0.011
40060,51033, ,Caroline VA,"Richmond, VA (Metro)",28545,0.024
40060,51036, ,Charles City VA,"Richmond, VA (Metro)",7256,0.006
40060,51041, ,Chesterfield VA,"Richmond, VA (Metro)",316236,0.262
40060,51053, ,Dinwiddie VA,"Richmond, VA (Metro)",28001,0.023
40060,51075, ,Goochland VA,"Richmond, VA (Metro)",21717,0.018
40060,51085, ,Hanover VA,"Richmond, VA (Metro)",99863,0.083
40060,51087, ,Henrico VA,"Richmond, VA (Metro)",306935,0.254
40060,51101, ,King William VA,"Richmond, VA (Metro)",15935,0.013
40060,51127, ,New Kent VA,"Richmond, VA (Metro)",18429,0.015
40060,51145, ,Powhatan VA,"Richmond, VA (Metro)",28046,0.023
40060,51149, ,Prince George VA,"Richmond, VA (Metro)",35725,0.03
40060,51183, ,Sussex VA,"Richmond, VA (Metro)",12087,0.01
40060,51570, ,Colonial Heights city VA,"Richmond, VA (Metro)",17411,0.014
40060,51670, ,Hopewell city VA,"Richmond, VA (Metro)",22591,0.019
40060,51730, ,Petersburg city VA,"Richmond, VA (Metro)",32420,0.027
40060,51760, ,Richmond city VA,"Richmond, VA (Metro)",204214,0.169
40080,21151, ,Madison KY,"Richmond-Berea, KY (Micro)",82916,0.829
40080,21203, ,Rockcastle KY,"Richmond-Berea, KY (Micro)",17056,0.171
40100,48427, ,Starr TX,"Rio Grande City, TX (Micro)",60968,1
40140,6065, ,Riverside CA,"Riverside-San Bernardino-Ontario, CA (Metro)",2189641,0.518
40140,6071, ,San Bernardino CA,"Riverside-San Bernardino-Ontario, CA (Metro)",2035210,0.482
40180,56013, ,Fremont WY,"Riverton, WY (Micro)",40123,1
40220,51023, ,Botetourt VA,"Roanoke, VA (Metro)",33148,0.107
40220,51045, ,Craig VA,"Roanoke, VA (Metro)",5190,0.017
40220,51067, ,Franklin VA,"Roanoke, VA (Metro)",56159,0.182
40220,51161, ,Roanoke VA,"Roanoke, VA (Metro)",92376,0.299
40220,51770, ,Roanoke city VA,"Roanoke, VA (Metro)",97032,0.314
40220,51775, ,Salem city VA,"Roanoke, VA (Metro)",24802,0.08
40260,37083, ,Halifax NC,"Roanoke Rapids, NC (Micro)",54691,0.712
40260,37131, ,Northampton NC,"Roanoke Rapids, NC (Micro)",22099,0.288
40300,17141, ,Ogle IL,"Rochelle, IL (Micro)",53497,1
40340,27039, ,Dodge MN,"Rochester, MN (Metro)",20087,0.097
40340,27045, ,Fillmore MN,"Rochester, MN (Metro)",20866,0.101
40340,27109, ,Olmsted MN,"Rochester, MN (Metro)",144248,0.697
40340,27157, ,Wabasha MN,"Rochester, MN (Metro)",21676,0.105
40380,36051, ,Livingston NY,"Rochester, NY (Metro)",65393,0.061
40380,36055, ,Monroe NY,"Rochester, NY (Metro)",744344,0.689
40380,36069, ,Ontario NY,"Rochester, NY (Metro)",107931,0.1
40380,36073, ,Orleans NY,"Rochester, NY (Metro)",42883,0.04
40380,36117, ,Wayne NY,"Rochester, NY (Metro)",93772,0.087
40380,36123, ,Yates NY,"Rochester, NY (Metro)",25348,0.023
40420,17007, ,Boone IL,"Rockford, IL (Metro)",54165,0.155
40420,17201, ,Winnebago IL,"Rockford, IL (Metro)",295266,0.845
40460,37153, ,Richmond NC,"Rockingham, NC (Micro)",46639,1
40540,56037, ,Sweetwater WY,"Rock Springs, WY (Micro)",43806,1
40580,37065, ,Edgecombe NC,"Rocky Mount, NC (Metro)",56552,0.371
40580,37127, ,Nash NC,"Rocky Mount, NC (Metro)",95840,0.629
40620,29161, ,Phelps MO,"Rolla, MO (Micro)",45156,1
40660,13115, ,Floyd GA,"Rome, GA (Metro)",96317,1
40700,41019, ,Douglas OR,"Roseburg, OR (Micro)",107667,1
40740,35005, ,Chaves NM,"Roswell, NM (Micro)",65645,1
40760,35027, ,Lincoln NM,"Ruidoso, NM (Micro)",20497,1
40780,5115, ,Pope AR,"Russellville, AR (Micro)",61754,0.736
40780,5149, ,Yell AR,"Russellville, AR (Micro)",22185,0.264
40820,22061, ,Lincoln Parish LA,"Ruston, LA (Micro)",46735,1
40860,50021, ,Rutland VT,"Rutland, VT (Micro)",61642,1
40900,6017, ,El Dorado CA,"Sacramento--Roseville--Arden-Arcade, CA (Metro)",181058,0.084
40900,6061, ,Placer CA,"Sacramento--Roseville--Arden-Arcade, CA (Metro)",348432,0.162
40900,6067, ,Sacramento CA,"Sacramento--Roseville--Arden-Arcade, CA (Metro)",1418788,0.66
40900,6113, ,Yolo CA,"Sacramento--Roseville--Arden-Arcade, CA (Metro)",200849,0.093
40940,4009, ,Graham AZ,"Safford, AZ (Micro)",37220,1
40980,26145, ,Saginaw MI,"Saginaw, MI (Metro)",200169,1
41060,27009, ,Benton MN,"St. Cloud, MN (Metro)",38451,0.203
41060,27145, ,Stearns MN,"St. Cloud, MN (Metro)",150642,0.797
41100,49053, ,Washington UT,"St. George, UT (Metro)",138115,1
41140,20043, ,Doniphan KS,"St. Joseph, MO-KS (Metro)",7945,0.062
41140,29003, ,Andrew MO,"St. Joseph, MO-KS (Metro)",17291,0.136
41140,29021, ,Buchanan MO,"St. Joseph, MO-KS (Metro)",89201,0.701
41140,29063, ,DeKalb MO,"St. Joseph, MO-KS (Metro)",12892,0.101
41180,17005, ,Bond IL,"St. Louis, MO-IL (Metro)",17768,0.006
41180,17013, ,Calhoun IL,"St. Louis, MO-IL (Metro)",5089,0.002
41180,17027, ,Clinton IL,"St. Louis, MO-IL (Metro)",37762,0.014
41180,17083, ,Jersey IL,"St. Louis, MO-IL (Metro)",22985,0.008
41180,17117, ,Macoupin IL,"St. Louis, MO-IL (Metro)",47765,0.017
41180,17119, ,Madison IL,"St. Louis, MO-IL (Metro)",269282,0.097
41180,17133, ,Monroe IL,"St. Louis, MO-IL (Metro)",32957,0.012
41180,17163, ,St. Clair IL,"St. Louis, MO-IL (Metro)",270056,0.097
41180,29071, ,Franklin MO,"St. Louis, MO-IL (Metro)",101492,0.036
41180,29099, ,Jefferson MO,"St. Louis, MO-IL (Metro)",218733,0.078
41180,29113, ,Lincoln MO,"St. Louis, MO-IL (Metro)",52566,0.019
41180,29183, ,St. Charles MO,"St. Louis, MO-IL (Metro)",360485,0.129
41180,29189, ,St. Louis MO,"St. Louis, MO-IL (Metro)",998954,0.358
41180,29219, ,Warren MO,"St. Louis, MO-IL (Metro)",32513,0.012
41180,29510, ,St. Louis city MO,"St. Louis, MO-IL (Metro)",319294,0.115
41220,13039, ,Camden GA,"St. Marys, GA (Micro)",50513,1
41260,42047, ,Elk PA,"St. Marys, PA (Micro)",31946,1
41400,39029, ,Columbiana OH,"Salem, OH (Micro)",107841,1
41420,41047, ,Marion OR,"Salem, OR (Metro)",315335,0.807
41420,41053, ,Polk OR,"Salem, OR (Metro)",75403,0.193
41460,20143, ,Ottawa KS,"Salina, KS (Micro)",6091,0.099
41460,20169, ,Saline KS,"Salina, KS (Micro)",55606,0.901
41500,6053, ,Monterey CA,"Salinas, CA (Metro)",415057,1
41540,10005, ,Sussex DE,"Salisbury, MD-DE (Metro)",197145,0.527
41540,24039, ,Somerset MD,"Salisbury, MD-DE (Metro)",26470,0.071
41540,24045, ,Wicomico MD,"Salisbury, MD-DE (Metro)",98733,0.264
41540,24047, ,Worcester MD,"Salisbury, MD-DE (Metro)",51454,0.138
41620,49035, ,Salt Lake UT,"Salt Lake City, UT (Metro)",1029655,0.946
41620,49045, ,Tooele UT,"Salt Lake City, UT (Metro)",58218,0.054
41660,48235, ,Irion TX,"San Angelo, TX (Metro)",1599,0.014
41660,48451, ,Tom Green TX,"San Angelo, TX (Metro)",110224,0.986
41700,48013, ,Atascosa TX,"San Antonio-New Braunfels, TX (Metro)",44911,0.021
41700,48019, ,Bandera TX,"San Antonio-New Braunfels, TX (Metro)",20485,0.01
41700,48029, ,Bexar TX,"San Antonio-New Braunfels, TX (Metro)",1714773,0.8
41700,48091, ,Comal TX,"San Antonio-New Braunfels, TX (Metro)",108472,0.051
41700,48187, ,Guadalupe TX,"San Antonio-New Braunfels, TX (Metro)",131533,0.061
41700,48259, ,Kendall TX,"San Antonio-New Braunfels, TX (Metro)",33410,0.016
41700,48325, ,Medina TX,"San Antonio-New Braunfels, TX (Metro)",46006,0.021
41700,48493, ,Wilson TX,"San Antonio-New Braunfels, TX (Metro)",42918,0.02
41740,6073, ,San Diego CA,"San Diego-Carlsbad, CA (Metro)",3095313,1
41760,16017, ,Bonner ID,"Sandpoint, ID (Micro)",40877,1
41780,39043, ,Erie OH,"Sandusky, OH (Micro)",77079,1
41820,37105, ,Lee NC,"Sanford, NC (Micro)",57866,1
41860,6001, ,Alameda CA,"San Francisco-Oakland-Hayward, CA (Metro)",1510271,0.348
41860,6013, ,Contra Costa CA,"San Francisco-Oakland-Hayward, CA (Metro)",1049025,0.242
41860,6041, ,Marin CA,"San Francisco-Oakland-Hayward, CA (Metro)",252409,0.058
41860,6075, ,San Francisco CA,"San Francisco-Oakland-Hayward, CA (Metro)",805235,0.186
41860,6081, ,San Mateo CA,"San Francisco-Oakland-Hayward, CA (Metro)",718451,0.166
41940,6069, ,San Benito CA,"San Jose-Sunnyvale-Santa Clara, CA (Metro)",55269,0.03
41940,6085, ,Santa Clara CA,"San Jose-Sunnyvale-Santa Clara, CA (Metro)",1781642,0.97
42020,6079, ,San Luis Obispo CA,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metro)",269637,1
42100,6087, ,Santa Cruz CA,"Santa Cruz-Watsonville, CA (Metro)",262382,1
42140,35049, ,Santa Fe NM,"Santa Fe, NM (Metro)",144170,1
42200,6083, ,Santa Barbara CA,"Santa Maria-Santa Barbara, CA (Metro)",423895,1
42220,6097, ,Sonoma CA,"Santa Rosa, CA (Metro)",483878,1
42300,26033, ,Chippewa MI,"Sault Ste. Marie, MI (Micro)",38520,1
42340,13029, ,Bryan GA,"Savannah, GA (Metro)",30233,0.087
42340,13051, ,Chatham GA,"Savannah, GA (Metro)",265128,0.763
42340,13103, ,Effingham GA,"Savannah, GA (Metro)",52250,0.15
42380,42015, ,Bradford PA,"Sayre, PA (Micro)",62622,1
42420,31007, ,Banner NE,"Scottsbluff, NE (Micro)",690,0.018
42420,31157, ,Scotts Bluff NE,"Scottsbluff, NE (Micro)",36970,0.949
42420,31165, ,Sioux NE,"Scottsbluff, NE (Micro)",1311,0.034
42460,1071, ,Jackson AL,"Scottsboro, AL (Micro)",53227,1
42540,42069, ,Lackawanna PA,"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",214437,0.38
42540,42079, ,Luzerne PA,"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",320918,0.569
42540,42131, ,Wyoming PA,"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",28276,0.05
42620,5145, ,White AR,"Searcy, AR (Micro)",77076,1
42660,53033, ,King WA,"Seattle-Tacoma-Bellevue, WA (Metro)",1931249,0.561
42660,53053, ,Pierce WA,"Seattle-Tacoma-Bellevue, WA (Metro)",795225,0.231
42660,53061, ,Snohomish WA,"Seattle-Tacoma-Bellevue, WA (Metro)",713335,0.207
42680,12061, ,Indian River FL,"Sebastian-Vero Beach, FL (Metro)",138028,1
42700,12055, ,Highlands FL,"Sebring, FL (Metro)",98786,1
42740,29159, ,Pettis MO,"Sedalia, MO (Micro)",42201,1
42780,42109, ,Snyder PA,"Selinsgrove, PA (Micro)",39702,1
42820,1047, ,Dallas AL,"Selma, AL (Micro)",43820,1
42860,45073, ,Oconee SC,"Seneca, SC (Micro)",74273,1
42900,36099, ,Seneca NY,"Seneca Falls, NY (Micro)",35251,1
42940,47155, ,Sevier TN,"Sevierville, TN (Micro)",89889,1
42980,18071, ,Jackson IN,"Seymour, IN (Micro)",42376,1
43020,55078, ,Menominee WI,"Shawano, WI (Micro)",4232,0.092
43020,55115, ,Shawano WI,"Shawano, WI (Micro)",41949,0.908
43060,40125, ,Pottawatomie OK,"Shawnee, OK (Micro)",69442,1
43100,55117, ,Sheboygan WI,"Sheboygan, WI (Metro)",115507,1
43140,37045, ,Cleveland NC,"Shelby, NC (Micro)",98078,1
43180,47003, ,Bedford TN,"Shelbyville, TN (Micro)",45058,1
43220,53045, ,Mason WA,"Shelton, WA (Micro)",60699,1
43260,56033, ,Sheridan WY,"Sheridan, WY (Micro)",29116,1
43300,48181, ,Grayson TX,"Sherman-Denison, TX (Metro)",120877,1
43320,4017, ,Navajo AZ,"Show Low, AZ (Micro)",107449,1
43340,22015, ,Bossier Parish LA,"Shreveport-Bossier City, LA (Metro)",116979,0.266
43340,22017, ,Caddo Parish LA,"Shreveport-Bossier City, LA (Metro)",254969,0.58
43340,22031, ,De Soto Parish LA,"Shreveport-Bossier City, LA (Metro)",26656,0.061
43340,22119, ,Webster Parish LA,"Shreveport-Bossier City, LA (Metro)",41207,0.094
43380,39149, ,Shelby OH,"Sidney, OH (Micro)",49423,1
43420,4003, ,Cochise AZ,"Sierra Vista-Douglas, AZ (Metro)",131346,1
43460,29201, ,Scott MO,"Sikeston, MO (Micro)",39191,1
43500,35017, ,Grant NM,"Silver City, NM (Micro)",29514,1
43580,19149, ,Plymouth IA,"Sioux City, IA-NE-SD (Metro)",24986,0.148
43580,19193, ,Woodbury IA,"Sioux City, IA-NE-SD (Metro)",102172,0.606
43580,31043, ,Dakota NE,"Sioux City, IA-NE-SD (Metro)",21006,0.125
43580,31051, ,Dixon NE,"Sioux City, IA-NE-SD (Metro)",6000,0.036
43580,46127, ,Union SD,"Sioux City, IA-NE-SD (Metro)",14399,0.085
43620,46083, ,Lincoln SD,"Sioux Falls, SD (Metro)",44828,0.196
43620,46087, ,McCook SD,"Sioux Falls, SD (Metro)",5618,0.025
43620,46099, ,Minnehaha SD,"Sioux Falls, SD (Metro)",169468,0.742
43620,46125, ,Turner SD,"Sioux Falls, SD (Metro)",8347,0.037
43660,48415, ,Scurry TX,"Snyder, TX (Micro)",16921,1
43700,21199, ,Pulaski KY,"Somerset, KY (Micro)",63063,1
43740,42111, ,Somerset PA,"Somerset, PA (Micro)",77742,1
43760,6109, ,Tuolumne CA,"Sonora, CA (Micro)",55365,1
43780,18141, ,St. Joseph IN,"South Bend-Mishawaka, IN-MI (Metro)",266931,0.836
43780,26027, ,Cass MI,"South Bend-Mishawaka, IN-MI (Metro)",52293,0.164
43900,45083, ,Spartanburg SC,"Spartanburg, SC (Metro)",284307,0.908
43900,45087, ,Union SC,"Spartanburg, SC (Metro)",28961,0.092
43940,46081, ,Lawrence SD,"Spearfish, SD (Micro)",24097,1
43980,19041, ,Clay IA,"Spencer, IA (Micro)",16667,1
44020,19059, ,Dickinson IA,"Spirit Lake, IA (Micro)",16667,1
44060,53051, ,Pend Oreille WA,"Spokane-Spokane Valley, WA (Metro)",13001,0.025
44060,53063, ,Spokane WA,"Spokane-Spokane Valley, WA (Metro)",471221,0.893
44060,53065, ,Stevens WA,"Spokane-Spokane Valley, WA (Metro)",43531,0.082
44100,17129, ,Menard IL,"Springfield, IL (Metro)",12705,0.06
44100,17167, ,Sangamon IL,"Springfield, IL (Metro)",197465,0.94
44140,25013, ,Hampden MA,"Springfield, MA (Metro)",463490,0.746
44140,25015, ,Hampshire MA,"Springfield, MA (Metro)",158080,0.254
44180,29043, ,Christian MO,"Springfield, MO (Metro)",77422,0.177
44180,29059, ,Dallas MO,"Springfield, MO (Metro)",16777,0.038
44180,29077, ,Greene MO,"Springfield, MO (Metro)",275174,0.63
44180,29167, ,Polk MO,"Springfield, MO (Metro)",31137,0.071
44180,29225, ,Webster MO,"Springfield, MO (Metro)",36202,0.083
44220,39023, ,Clark OH,"Springfield, OH (Metro)",138333,1
44260,28105, ,Oktibbeha MS,"Starkville, MS (Micro)",47671,1
44300,42027, ,Centre PA,"State College, PA (Metro)",153990,1
44340,13031, ,Bulloch GA,"Statesboro, GA (Micro)",70217,1
44420,51015, ,Augusta VA,"Staunton-Waynesboro, VA (Metro)",73750,0.622
44420,51790, ,Staunton city VA,"Staunton-Waynesboro, VA (Metro)",23746,0.2
44420,51820, ,Waynesboro city VA,"Staunton-Waynesboro, VA (Metro)",21006,0.177
44460,8107, ,Routt CO,"Steamboat Springs, CO (Micro)",23509,1
44500,48143, ,Erath TX,"Stephenville, TX (Micro)",37890,1
44540,8075, ,Logan CO,"Sterling, CO (Micro)",22709,1
44580,17195, ,Whiteside IL,"Sterling, IL (Micro)",58498,1
44620,55097, ,Portage WI,"Stevens Point, WI (Micro)",70019,1
44660,40119, ,Payne OK,"Stillwater, OK (Micro)",77350,1
44700,6077, ,San Joaquin CA,"Stockton-Lodi, CA (Metro)",685306,1
44740,19021, ,Buena Vista IA,"Storm Lake, IA (Micro)",20260,1
44780,26149, ,St. Joseph MI,"Sturgis, MI (Micro)",61295,1
44860,48223, ,Hopkins TX,"Sulphur Springs, TX (Micro)",35161,1
44900,13055, ,Chattooga GA,"Summerville, GA (Micro)",26015,1
44920,49043, ,Summit UT,"Summit Park, UT (Micro)",36324,1
44940,45085, ,Sumter SC,"Sumter, SC (Metro)",107456,1
44980,42097, ,Northumberland PA,"Sunbury, PA (Micro)",94528,1
45000,6035, ,Lassen CA,"Susanville, CA (Micro)",34895,1
45020,48353, ,Nolan TX,"Sweetwater, TX (Micro)",15216,1
45060,36053, ,Madison NY,"Syracuse, NY (Metro)",73442,0.111
45060,36067, ,Onondaga NY,"Syracuse, NY (Metro)",467026,0.705
45060,36075, ,Oswego NY,"Syracuse, NY (Metro)",122109,0.184
45140,40021, ,Cherokee OK,"Tahlequah, OK (Micro)",46987,1
45180,1037, ,Coosa AL,"Talladega-Sylacauga, AL (Micro)",11539,0.123
45180,1121, ,Talladega AL,"Talladega-Sylacauga, AL (Micro)",82291,0.877
45220,12039, ,Gadsden FL,"Tallahassee, FL (Metro)",46389,0.126
45220,12065, ,Jefferson FL,"Tallahassee, FL (Metro)",14761,0.04
45220,12073, ,Leon FL,"Tallahassee, FL (Metro)",275487,0.75
45220,12129, ,Wakulla FL,"Tallahassee, FL (Metro)",30776,0.084
45300,12053, ,Hernando FL,"Tampa-St. Petersburg-Clearwater, FL (Metro)",172778,0.062
45300,12057, ,Hillsborough FL,"Tampa-St. Petersburg-Clearwater, FL (Metro)",1229226,0.442
45300,12101, ,Pasco FL,"Tampa-St. Petersburg-Clearwater, FL (Metro)",464697,0.167
45300,12103, ,Pinellas FL,"Tampa-St. Petersburg-Clearwater, FL (Metro)",916542,0.329
45340,35055, ,Taos NM,"Taos, NM (Micro)",32937,1
45380,17021, ,Christian IL,"Taylorville, IL (Micro)",34800,1
45460,18021, ,Clay IN,"Terre Haute, IN (Metro)",26890,0.156
45460,18153, ,Sullivan IN,"Terre Haute, IN (Metro)",21475,0.125
45460,18165, ,Vermillion IN,"Terre Haute, IN (Metro)",16212,0.094
45460,18167, ,Vigo IN,"Terre Haute, IN (Metro)",107848,0.625
45500,5081, ,Little River AR,"Texarkana, TX-AR (Metro)",13171,0.088
45500,5091, ,Miller AR,"Texarkana, TX-AR (Metro)",43462,0.291
45500,48037, ,Bowie TX,"Texarkana, TX-AR (Metro)",92565,0.62
45520,41065, ,Wasco OR,"The Dalles, OR (Micro)",25213,1
45540,12119, ,Sumter FL,"The Villages, FL (Metro)",93420,1
45580,13293, ,Upson GA,"Thomaston, GA (Micro)",27153,1
45620,13275, ,Thomas GA,"Thomasville, GA (Micro)",44720,1
45660,39147, ,Seneca OH,"Tiffin, OH (Micro)",56745,1
45700,13277, ,Tift GA,"Tifton, GA (Micro)",40118,1
45740,13257, ,Stephens GA,"Toccoa, GA (Micro)",26175,1
45780,39051, ,Fulton OH,"Toledo, OH (Metro)",42698,0.07
45780,39095, ,Lucas OH,"Toledo, OH (Metro)",441815,0.724
45780,39173, ,Wood OH,"Toledo, OH (Metro)",125488,0.206
45820,20085, ,Jackson KS,"Topeka, KS (Metro)",13462,0.058
45820,20087, ,Jefferson KS,"Topeka, KS (Metro)",19126,0.082
45820,20139, ,Osage KS,"Topeka, KS (Metro)",16295,0.07
45820,20177, ,Shawnee KS,"Topeka, KS (Metro)",177934,0.761
45820,20197, ,Wabaunsee KS,"Topeka, KS (Metro)",7053,0.03
45860,9005, ,Litchfield CT,"Torrington, CT (Micro)",189927,1
45900,26019, ,Benzie MI,"Traverse City, MI (Micro)",17525,0.122
45900,26055, ,Grand Traverse MI,"Traverse City, MI (Micro)",86986,0.607
45900,26079, ,Kalkaska MI,"Traverse City, MI (Micro)",17153,0.12
45900,26089, ,Leelanau MI,"Traverse City, MI (Micro)",21708,0.151
45940,34021, ,Mercer NJ,"Trenton, NJ (Metro)",366513,1
45980,1109, ,Pike AL,"Troy, AL (Micro)",32899,1
46020,6057, ,Nevada CA,"Truckee-Grass Valley, CA (Micro)",98764,1
46060,4019, ,Pima AZ,"Tucson, AZ (Metro)",980263,1
46100,47031, ,Coffee TN,"Tullahoma-Manchester, TN (Micro)",52796,0.527
46100,47051, ,Franklin TN,"Tullahoma-Manchester, TN (Micro)",41052,0.41
46100,47127, ,Moore TN,"Tullahoma-Manchester, TN (Micro)",6362,0.063
46140,40037, ,Creek OK,"Tulsa, OK (Metro)",69967,0.075
46140,40111, ,Okmulgee OK,"Tulsa, OK (Metro)",40069,0.043
46140,40113, ,Osage OK,"Tulsa, OK (Metro)",47472,0.051
46140,40117, ,Pawnee OK,"Tulsa, OK (Metro)",16577,0.018
