STATE,LOGRECNO,GEOID,Name
US,0040910,86000US92037,ZCTA5 92037
US,0040911,86000US92040,ZCTA5 92040
US,0040912,86000US92054,ZCTA5 92054
US,0040913,86000US92055,ZCTA5 92055
US,0040914,86000US92056,ZCTA5 92056
US,0040915,86000US92057,ZCTA5 92057
US,0040916,86000US92058,ZCTA5 92058
US,0040917,86000US92059,ZCTA5 92059
US,0040918,86000US92060,ZCTA5 92060
US,0040919,86000US92061,ZCTA5 92061
US,0040920,86000US92064,ZCTA5 92064
US,0040921,86000US92065,ZCTA5 92065
US,0040922,86000US92066,ZCTA5 92066
US,0040923,86000US92067,ZCTA5 92067
US,0040924,86000US92069,ZCTA5 92069
US,0040925,86000US92070,ZCTA5 92070
US,0040926,86000US92071,ZCTA5 92071
US,0040927,86000US92075,ZCTA5 92075
US,0040928,86000US92078,ZCTA5 92078
US,0040929,86000US92081,ZCTA5 92081
US,0040930,86000US92082,ZCTA5 92082
US,0040931,86000US92083,ZCTA5 92083
US,0040932,86000US92084,ZCTA5 92084
US,0040933,86000US92086,ZCTA5 92086
US,0040934,86000US92091,ZCTA5 92091
US,0040935,86000US92101,ZCTA5 92101
US,0040936,86000US92102,ZCTA5 92102
US,0040937,86000US92103,ZCTA5 92103
US,0040938,86000US92104,ZCTA5 92104
US,0040939,86000US92105,ZCTA5 92105
US,0040940,86000US92106,ZCTA5 92106
US,0040941,86000US92107,ZCTA5 92107
US,0040942,86000US92108,ZCTA5 92108
US,0040943,86000US92109,ZCTA5 92109
US,0040944,86000US92110,ZCTA5 92110
US,0040945,86000US92111,ZCTA5 92111
US,0040946,86000US92113,ZCTA5 92113
US,0040947,86000US92114,ZCTA5 92114
US,0040948,86000US92115,ZCTA5 92115
US,0040949,86000US92116,ZCTA5 92116
US,0040950,86000US92117,ZCTA5 92117
US,0040951,86000US92118,ZCTA5 92118
US,0040952,86000US92119,ZCTA5 92119
US,0040953,86000US92120,ZCTA5 92120
